date,temperature_max_c,temperature_min_c,temperature_mean_c,precipitation_sum_mm,relative_humidity_mean_pct,wind_speed_max_kmh,wind_direction_dominant_deg
2026-01-14,20.1,7.1,12.3,0.0,53,13.6,167
2026-01-15,20.5,8.9,13.5,0.0,50,13.3,204
2026-01-16,19.8,7.2,12.6,0.0,71,9.3,130
2026-01-17,14.6,8.4,10.6,0.0,79,16.1,49
2026-01-18,14.6,6.9,11.0,0.0,80,10.1,68
2026-01-19,10.9,2.7,7.0,0.8,77,20.2,14
2026-01-20,2.8,1.0,1.7,0.6,70,19.1,356
2026-01-21,2.3,-2.5,0.0,0.0,67,17.0,338
2026-01-22,3.3,-2.4,0.4,0.0,63,14.7,330
2026-01-23,8.4,-1.5,3.0,0.0,65,6.3,279
2026-01-24,9.1,0.2,4.3,0.0,67,10.1,45
2026-01-25,13.8,4.1,8.2,0.1,74,14.6,98
2026-01-26,11.4,5.3,8.9,6.1,87,14.8,51
2026-01-27,7.2,3.0,5.1,0.0,73,14.9,354
2026-01-28,7.3,2.7,4.9,0.0,69,7.3,28
2026-01-29,9.8,4.3,7.1,0.0,65,12.3,78
2026-01-30,7.5,3.0,5.5,16.1,84,18.7,57
2026-01-31,5.8,1.9,3.6,4.4,83,12.7,6
2026-02-01,7.4,-0.2,3.6,0.0,78,6.9,316
2026-02-02,9.4,1.4,5.1,0.0,73,12.7,343
2026-02-03,10.1,1.0,5.2,0.0,67,11.2,111
2026-02-04,15.9,6.9,10.5,0.0,68,10.4,176
2026-02-05,13.8,8.2,10.8,2.4,78,8.4,26
2026-02-06,9.1,1.5,5.1,13.5,87,19.2,26
2026-02-07,3.5,-0.1,1.6,0.2,72,16.7,346
2026-02-08,2.8,-2.0,0.3,0.0,58,14.6,327
2026-02-09,6.6,-2.7,2.6,0.3,70,13.4,149
2026-02-10,10.7,5.2,7.2,2.4,78,15.7,259
2026-02-11,12.6,3.0,7.1,0.0,74,9.7,314
2026-02-12,13.6,3.5,7.9,0.0,75,11.4,148
